"","Description","Lot.Batch..","Category","Sub.Category","Strain.Name","Strain.Type","d9.THC..mg.g.","THCA..mg.g.","d8.THC..mg.g.","CBD..mg.g.","CBDA..mg.g.","CBDV..mg.g.","CBN..mg.g.","CBG..mg.g.","CBC..mg.g.","CBCA..mg.g.","CBGA..mg.g.","Total.THC.mg.g","Total.CBD.mg.g","Terpinolene....","Eudesmol....","α.Pinene....","β.Pinene....","Camphene....","Eucalyptol....","Isopulegol....","Menthol....","Borneol....","Trans.Beta.Ocimene....","Cis.Beta.Ocimene....","Geraniol....","Linalool....","Guaiol....","α.Bisabolol....","α.Terpinene....","Citronellol....","δ.3.Carene....","Cis.Nerolidol....","Trans.Nerolidol....","Limonene....","P.Cymene....","γ.Terpinene....","α.Terpineol....","ß.Myrcene....","CaryophylleneOxide....","α.Humulene....","ß.Caryophyllene....","total_cannabinoidsMg.g","total_terpsMg.g"
"654","PL 430 (RCC, BBF)F","PL 430","Plant","Flower","","",9.8,140.3,NA,NA,NA,NA,NA,0.5,NA,1.8,3.3,132.843,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.7,0
"655","PL 430 (RCC,BBF)CRUDE","PL 430","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"656","PL 431 (MM,BKD)CRUDE","PL 431","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"657","PL 431 (MM,BKD)F","PL 431","Plant","Flower","","",1,8.9,NA,4.8,128.2,0.5,NA,0.9,0.6,6.6,4,8.8053,117.231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.5,0
"658","PL 431 (MM,BKD)F-02","PL 431","Plant","Flower","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00669,0.00374,0.165,0.0528,0.00384,NA,NA,NA,0.00737,0.00237,0.0115,NA,0.0412,0.00342,0.00523,NA,0.0101,NA,NA,0.0153,0.0217,NA,NA,0.0134,0.222,0.0138,0.0291,0.0792,0,0.70776
"659","PL 432 (MM, ATA)CRUDE","PL 432","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"660","PL 432 (MM, ATA)F","PL 432","Plant","Flower","","",2.6,30.2,NA,2.4,73.7,0.4,NA,0.8,NA,4.6,2.9,29.0854,67.0349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.6,0
"661","PL 433 (MM, SRP) CRUDE","PL 433","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"662","PL 433 (MM, SRP)F","PL 433","Plant","Flower","","",8.5,66.1,NA,4,107.4,NA,NA,1.3,0.8,9.3,8.2,66.4697,98.1898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.6,0
"663","PL 434 (MM, HKB)CRUDE","PL 434","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"664","PL 434 (MM, HKB)F","PL 434","Plant","Flower","","",5.7,141.2,NA,NA,5.5,NA,NA,0.7,NA,5.4,6.7,129.532,4.8235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165.2,0
"665","PL 435 (MM, LGB-671)CRUDE","PL 435","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"666","PL 435 (MM, LGB-671)F","PL 435","Plant","Flower","","",3.1,63,NA,1.7,101.2,NA,NA,1.5,NA,6.7,9.2,58.351,90.4524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186.4,0
"667","PL 436 (MM, LGB-3224)CRUDE","PL 436","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"668","PL 436 (MM, LGB-3224)F","PL 436","Plant","Flower","","",2.7,63.9,NA,1.5,103.1,NA,NA,1.6,NA,6.9,9.4,58.7403,91.9187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,189.1,0
"669","PL 437 (CC,MH)MD","PL 437","Concentrate","Distillate","","",865.1,NA,NA,24.9,NA,1.3,6.9,27.1,16.5,NA,NA,865.1,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,941.8,0
"670","PL 437 (CC,MH)MD BLEND","PL 437","Concentrate","Distillate","","",858.5,NA,NA,17.3,NA,0.9,9.8,27.3,12.7,NA,NA,858.5,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,926.5,0
"671","PL 439 (ALP,TRI)CRUDE","PL 439","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"672","PL 439 (ALP,TRI)F","PL 439","Plant","Flower","","",4.7,51.2,NA,5.7,141.7,0.8,NA,2.3,NA,12.2,8.5,49.6024,129.971,0.0203,NA,0.0308,0.0353,0.00836,NA,NA,NA,0.0107,0.00383,0.0168,0.00687,0.0354,NA,0.0834,NA,NA,NA,NA,NA,0.154,NA,NA,0.0376,0.155,0.0325,0.105,0.463,227.1,1.19886
"673","PL 440 (LS, XJ)CRUDE","PL 440","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"674","PL 440 (LS,XJ)F","PL 440","Plant","Flower","","",15.7,175.3,NA,NA,NA,NA,NA,1.2,NA,3.1,14,169.438,0,0.856,0.00335,0.0391,0.0674,NA,0.0071,NA,NA,0.0026,0.0158,0.399,NA,0.0215,NA,0.0132,0.0281,NA,0.0246,NA,0.0262,0.0311,0.0042,0.0271,0.0262,0.0635,0.0274,0.145,0.506,209.3,2.33445
"675","PL 441 (RH, HRT)CRUDE","PL 441","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"676","PL 441 (RH,HRT)F","PL 441","Plant","Flower","","",NA,2.2,NA,1.6,50.2,NA,NA,NA,NA,2.4,2,1.9294,45.6254,0.0841,0.0357,0.0425,0.0233,NA,NA,NA,NA,NA,0.00725,0.0584,NA,0.00522,0.0185,0.00699,0.00417,NA,0.00216,NA,0.00719,0.0159,NA,0.00282,0.00567,0.117,0.00876,0.0188,0.0671,58.4,0.53153
"677","PL 443 (MM,FBF)CRUDE","PL 443 CRUDE","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"678","PL 443 (MM,FBF)F","PL 443","Plant","Flower","","",2.9,122.3,NA,NA,NA,NA,NA,NA,NA,2.1,3.9,110.157,0,0.00177,0.1,0.0138,0.0201,0.0039,NA,NA,NA,NA,0.00269,NA,NA,0.0954,0.0877,0.0546,NA,NA,NA,NA,0.0953,0.124,NA,NA,0.0117,0.414,0.00732,0.0492,0.151,131.2,1.23248
"679","PL 444 (CF,MH)CRUDE","PL 444 CRUDE","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"680","PL 444 (CF,MH)F","PL 444 Flower","Plant","Flower","","",6.8,123.5,NA,NA,NA,NA,NA,0.7,NA,2,4.6,115.109,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.6,0
"681","PL 445 (MM,RNM)CRUDE","PL 445 CRUDE","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"682","PL 445 (MM,RNM)F","PL 445","Plant","Flower","","",5.6,219.9,NA,NA,NA,NA,NA,1,NA,6.9,13.1,198.452,0,0.00197,0.0663,0.0194,0.027,0.00521,0.00291,NA,NA,0.00678,0.015,0.1083,NA,0.12,0.0588,0.0504,NA,NA,NA,NA,0.012,0.108,NA,NA,0.0213,0.739,0.014,0.0789,0.221,246.5,1.67627
"683","PL 446 (MM,MH)CRUDE","PL 446","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"684","PL 446 (MM,MH)F","PL 446","Plant","Leaf/Trim","","",5.5,106.1,NA,NA,NA,NA,NA,0.4,NA,3.1,5.3,98.5497,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.4,0
"685","PL 447 (HRM,LOGXR)F","PL 447 R&D FLOWER","Plant","Flower","","",16.7,146.1,NA,NA,NA,NA,NA,1.1,NA,1.7,5.3,144.83,0,0.0057,NA,0.0511,0.0909,0.0109,0.00164,NA,NA,0.0123,0.00552,NA,NA,0.152,NA,0.102,NA,NA,NA,NA,NA,0.599,NA,NA,0.0749,0.99,0.0383,0.31,1.23,170.9,3.67426
"686","PL 448 (FRF,MHZ)CRUDE","PL 448","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"687","PL 448 (FRF,MHZ)F","PL 448","Plant","Flower","","",6.2,44,NA,4.6,95.8,NA,NA,1,0.4,5.1,5.3,44.788,88.6166,NA,0.0526,0.101,0.0471,0.00439,NA,NA,NA,0.0108,NA,NA,NA,0.0299,0.0416,0.0537,NA,NA,NA,NA,0.01,0.0612,NA,NA,0.0183,0.275,0.0202,0.0194,0.063,162.4,0.80819
"688","PL 449 (CF,CMS)CRUDE","PL 449","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"689","PL 449 (CF,CMS)F","PL 449","Plant","Flower","","",2.6,198.7,NA,NA,0.5,NA,NA,0.5,0.5,3.8,2.8,176.86,0.4385,0.00274,0.00315,0.0269,0.049,0.00747,0.00704,NA,NA,0.00591,0.00318,NA,NA,0.151,NA,0.11,NA,NA,NA,NA,0.00884,0.28,NA,NA,0.0205,0.0119,0.0823,0.484,1.33,209.4,2.58393
"690","PL 450 (TH, PKL)F","PL 450 Flower","Plant","Flower","","",5.7,156,NA,NA,NA,NA,NA,0.9,NA,2.3,6.2,142.512,0,0.00159,0.00282,0.0164,0.0277,0.00488,NA,NA,NA,0.00479,NA,NA,0.00958,0.103,NA,0.0682,NA,0.00841,NA,NA,0.0734,0.145,NA,NA,0.0208,0.07,0.026,0.129,0.46,171.1,1.17157
"691","PL 450 (TH,PKL)CRUDE","PL 450 Microextraction Crude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"692","PL 451 (HRM,LNP)CRUDE","PL 451 Micro-extraction Crude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"693","PL 451 (HRM,LNP)F","PL 451 Flower","Plant","Flower","","",28.554,149.396,NA,NA,NA,NA,NA,1.27,0.619,1.443,3.687,159.574,0,0.00563,NA,0.0434,0.0748,0.012,0.0019,NA,NA,0.0162,0.00471,0.00809,NA,0.143,NA,0.192,NA,NA,NA,NA,NA,0.452,NA,NA,0.0742,0.277,0.00378,0.342,1.33,184.969,2.98071
"694","PL 452 (UV,GDG)CRUDE","PL 452 Micro-extraction Crude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"695","PL 452 (UV,GDG)F","PL 452 Flower","Plant","Flower","","",0.573,6.662,NA,4.836,150.793,NA,NA,0.898,NA,7.595,2.647,6.41557,137.081,NA,0.0159,0.174,0.0816,0.00636,NA,NA,NA,0.00733,NA,NA,NA,0.0383,0.0169,0.0158,NA,0.00775,NA,NA,0.00662,0.053,NA,NA,0.0176,0.349,0.0024,0.0433,0.137,174.004,0.97286
"696","PL 453 (CF,DROG)CRUDE","PL 453 CF Doc OG Microextraction crude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"697","PL 453 (CF,DROG)F","PL 453","Plant","Leaf/Trim","","",13.858,92.809,NA,NA,NA,NA,NA,0.749,NA,1.705,2.562,95.2515,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.683,0
"698","PL 454 (CF,DSG)CRUDE","PL 454","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"699","PL 454 (CF,DSG)F","PL 454","Plant","Leaf/Trim","","",2.265,70.224,NA,NA,NA,NA,NA,NA,NA,NA,2.813,63.8514,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.302,0
"700","PL 455 (CF,ANC)CRUDE","PL 455","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"701","PL 455 (CF,ANC)F","PL 455","Plant","Flower","","",15.483,205.582,NA,NA,NA,NA,NA,1.473,NA,2.352,7.937,195.778,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.827,0
"702","PL 456 (WLD, JAH)F-02","PL 456 Flower 02","Plant","Flower","","",5.686,44.412,NA,4.686,130.174,NA,NA,0.952,0.6,NA,10.944,44.6353,118.849,NA,0.0205,0.192,0.0841,0.00543,0.00289,NA,NA,0.00579,0.0045,0.0788,NA,0.0185,0.0215,0.0226,NA,NA,NA,NA,0.00686,0.0621,NA,NA,0.0086,0.427,0.00185,0.0546,0.192,197.454,1.20962
"703","PL 456 (WLD,JAH)CRUDE","PL 456 Wildland Electric Jah Microextraction Crude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"704","PL 456 (WLD,JAH)F","PL 456 Wildland Electric Jah Flower","Plant","Flower","","",5.944,123.33,NA,NA,0.535,NA,NA,NA,NA,2.721,4.926,114.104,0.469195,0.16,0.00832,0.236,0.12,0.00356,0.0117,NA,NA,NA,NA,NA,NA,0.011,0.00981,NA,0.00763,0.00183,0.00491,NA,0.00743,0.0212,NA,0.00612,0.0076,0.116,NA,0.0196,0.0968,137.456,0.84951
"705","PL 457 (ES, HBC)CRUDE","PL 457 Esensia Hibiscus Microextraction Crude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"706","PL 457 (ES,HBC)F","PL 457  Esensia Hibiscus Flower","Plant","Flower","","",3.529,45.94,NA,2.438,101.081,NA,NA,NA,NA,6.439,12.403,43.8184,91.086,0.00313,0.0167,0.351,0.127,0.00901,0.00394,NA,NA,0.00566,0.00173,NA,NA,0.022,0.0177,0.0775,NA,NA,NA,NA,0.00492,0.073,NA,0.00167,0.0108,0.763,NA,0.0501,0.175,171.83,1.71386
"707","PL 457 (ES,HBC)F-02","PL 457 Flower 02","Plant","Flower","","",4.988,129.878,NA,NA,NA,NA,NA,NA,NA,NA,5.506,118.891,0,0.166,0.00744,0.334,0.173,0.00638,0.00741,NA,NA,0.00166,NA,NA,NA,0.0177,0.0084,NA,0.012,0.00316,0.0114,NA,0.00561,0.0313,NA,0.00957,0.0104,0.195,NA,0.0172,0.109,140.372,1.12663
"708","PL 458 (TH,TPC)CRUDE","PL 458 Microextraction","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"709","PL 458 (TH,TPC)F","PL 459","Plant","Flower","","",5.56,195.95,0.42,NA,6.894,NA,NA,0.563,NA,NA,13.133,177.408,6.04604,0.00223,NA,0.02377,0.0575,0.00704,NA,NA,NA,0.0041,0.00178,NA,0.00291,0.101,NA,0.00658,NA,NA,NA,NA,0.0109,0.283,NA,NA,0.0163,0.0691,0.00244,0.164,0.571,222.52,1.32365
"710","PL 459 (LDW,RMD)CRUDE","PL 459","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"711","PL 459 (LDW,RMD)F","PL 459","Plant","Flower","","",NA,4.379,NA,4.118,129.481,NA,NA,0.542,NA,7.116,2.831,3.84038,117.673,NA,0.113,0.255,0.106,0.00485,0.00276,NA,NA,0.00368,NA,NA,NA,0.00603,0.1047,0.022,NA,0.00174,NA,NA,0.00734,0.0548,NA,NA,0.00248,0.454,0.00197,0.0622,0.213,148.467,1.41555
"712","PL 461(LS,LBW)","Lady Benbow Crude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"713","PL 462(MGF, RCK)","Royal Cherry Kush crude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"714","PL 463 (MGF, SPT)","Sapphire Tsu Crude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"715","PL XXX (WLG,CBD)F","PL XXX (WLG,CBD)F","Plant","Flower","","",6.2,23.4,NA,6.3,82.7,NA,NA,0.7,1.1,6.3,3.2,26.7218,78.8279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.9,0
"716","PL400 (YO, RMD)","PL400","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"717","PL401 (YO, ACD)","PL401","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"718","PL401 (YO, ACD) F","PL401","Plant","Flower","","CBD",5.5,94.9,NA,1.5,45.1,NA,NA,1.3,NA,3,16.5,88.7273,41.0527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.8,0
"719","PL402 (CC, THCdist)","PL402","Concentrate","Distillate","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"720","PL403 (CC, CBDdist)","PL403","Concentrate","Distillate","CBD Distillate","CBD",51.6,NA,NA,738.7,1.6,8.8,NA,18.2,22.5,NA,NA,52.9,748.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,841.4,0
"721","PL404 (MDR, MH)","PL404","Other","Other","Mixed Hybrid","Hybrid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"722","PL466 GRM Crude","Grease Monkey MicroCrude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"723","PL466 HBS Crude","Hibiscus MicroCrude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"724","PL469 MGW Crude","Magic Wand Microcrude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"725","PL470 OCH Crude","Double OG Chem Microcrude","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"726","PLXYZ (FRM,RMD) F R&D","","Plant","","","",NA,6.61,NA,3.01,168.1,NA,NA,0.73,NA,11.35,3.84,5.79697,150.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193.64,0
"727","PLXYZ (FRM,RMD) F R&D","","Concentrate","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"728","POG Cart","PL-POG171213-1","Concentrate","Cartridge","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"729","POG Oil","PL-POG171213-1","Concentrate","Other","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
